SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_DISPLAY
12024,1610612744,GSW,Golden State Warriors,0012400033,2024-10-11,GSW vs. SAC,W,239,109,32,66,0.485,13,34.0,0.382,32,37,0.865,3.0,43.0,46.0,20,3,4,23,28,3.0,2024-25
12024,1610612744,GSW,Golden State Warriors,0012400044,2024-10-13,GSW vs. DET,W,240,111,40,87,0.46,18,39.0,0.462,13,16,0.813,11.0,38.0,49.0,31,9,9,20,18,18.0,2024-25
12024,1610612744,GSW,Golden State Warriors,0012400056,2024-10-15,GSW @ LAL,W,240,111,44,96,0.458,14,45.0,0.311,9,11,0.818,13.0,42.0,55.0,33,7,5,14,22,14.0,2024-25
12024,1610612744,GSW,Golden State Warriors,0012400074,2024-10-18,GSW vs. LAL,W,242,132,51,89,0.573,13,36.0,0.361,17,20,0.85,6.0,30.0,36.0,38,13,9,13,14,58.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400072,2024-10-23,GSW @ POR,W,240,140,48,93,0.516,20,48.0,0.417,24,30,0.8,15.0,42.0,57.0,38,13,5,17,27,36.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400084,2024-10-25,GSW @ UTA,W,241,127,51,106,0.481,20,50.0,0.4,5,6,0.833,19.0,41.0,60.0,35,15,6,13,25,41.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400101,2024-10-27,GSW vs. LAC,L,242,104,38,88,0.432,14,43.0,0.326,14,22,0.636,14.0,33.0,47.0,19,10,5,21,22,-8.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400116,2024-10-29,GSW vs. NOP,W,243,124,46,97,0.474,21,46.0,0.457,11,13,0.846,11.0,23.0,34.0,34,15,9,7,20,18.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400126,2024-10-30,GSW vs. NOP,W,238,104,41,87,0.471,13,38.0,0.342,9,13,0.692,13.0,29.0,42.0,32,5,9,13,22,15.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400144,2024-11-02,GSW @ HOU,W,264,127,40,78,0.513,15,32.0,0.469,32,50,0.64,9.0,38.0,47.0,26,5,4,14,22,6.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400155,2024-11-04,GSW @ WAS,W,240,125,44,97,0.454,12,37.0,0.324,25,34,0.735,16.0,40.0,56.0,29,5,7,6,20,13.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400172,2024-11-06,GSW @ BOS,W,239,118,42,91,0.462,14,34.0,0.412,20,24,0.833,15.0,38.0,53.0,22,6,5,11,19,6.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400188,2024-11-08,GSW @ CLE,L,242,117,47,98,0.48,13,42.0,0.31,10,14,0.714,11.0,29.0,40.0,32,14,4,17,24,-19.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400207,2024-11-10,GSW @ OKC,W,240,127,45,89,0.506,21,43.0,0.488,16,23,0.696,13.0,33.0,46.0,35,8,3,14,26,11.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400007,2024-11-12,GSW vs. DAL,W,241,120,45,94,0.479,14,41.0,0.341,16,27,0.593,18.0,32.0,50.0,29,13,7,12,18,3.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400019,2024-11-15,GSW vs. MEM,W,241,123,43,98,0.439,19,46.0,0.413,18,25,0.72,14.0,42.0,56.0,33,9,5,19,28,5.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400251,2024-11-18,GSW @ LAC,L,241,99,37,84,0.44,16,44.0,0.364,9,19,0.474,9.0,36.0,45.0,27,12,4,19,14,-3.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400258,2024-11-20,GSW vs. ATL,W,239,120,47,101,0.465,14,40.0,0.35,12,18,0.667,9.0,45.0,54.0,36,10,7,15,17,23.0,2024-25
22024,1610612744,GSW,Golden State Warriors,0022400032,2024-11-22,GSW @ NOP,W,239,112,39,87,0.448,12,37.0,0.324,22,29,0.759,14.0,38.0,52.0,27,5,5,16,19,4.0,2024-25
